Row Labels,Region,Chinook,Scokeye,Coho,Pink,Chum,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,SE,"54,215","377,440","522,774","528,023","12,332,015","13,814,467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,SE,"83,422","188,510","517,172","1,218,852","7,693,535","9,701,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,SE,"97,145","114,047","704,464","173,914","7,984,314","9,073,884",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,SE,"82,756","137,017","619,570","1,318,308","8,687,058","10,844,709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,SE,"73,593","91,202","765,192","1,198,717","7,593,846","9,722,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,SE,"101,092","170,087","796,221","1,339,987","8,284,698","10,692,085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,SE,"71,923","218,926","618,549","340,783","10,493,980","11,744,161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,SE,"95,570","179,181","1,206,772","2,500,909","10,489,177","14,471,609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,SE,"66,173","216,118","1,360,945","511,684","5,733,451","7,888,371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,SE,"77,495","145,456","822,191","527,887","9,145,108","10,718,137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,SE,"43,861","277,819","515,812","358,762","6,919,733","8,115,987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,SE,"42,041","211,774","570,985","1,287,528","9,743,777","11,856,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,SE,"41,402","238,224","563,376","401,665","9,928,199","11,172,866",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,PWS,NA,183,NA,"17,545",NA,"17,728",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,PWS,NA,720,NA,"114,188",NA,"114,908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,PWS,NA,900,NA,"498,748",NA,"499,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,PWS,NA,350,NA,"1,405,528","2,930","1,408,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,PWS,NA,"3,600",NA,"2,138,544","36,686","2,178,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,PWS,NA,"3,600",NA,"5,679,161","1,569","5,684,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,PWS,NA,"6,600",NA,"4,385,455","13,108","4,405,163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,PWS,NA,"5,318",NA,"4,037,386","82,991","4,125,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,PWS,NA,"31,955",0,"8,067,647","64,137","8,163,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,PWS,NA,"30,404","3,263","6,792,641","199,077","7,025,385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,PWS,100,"47,347","23,640","17,304,638","127,397","17,503,122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,PWS,231,"92,552","66,452","10,533,495","524,894","11,217,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,PWS,340,"175,643","202,497","20,173,723","341,374","20,893,577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,PWS,235,"73,917","218,455","37,553,433","643,123","38,489,163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,PWS,184,"582,200","129,270","32,870,650","250,408","33,832,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,PWS,"1,311","644,020","192,062","7,479,216","237,546","8,554,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,PWS,"2,045","502,536","43,635","4,418,071","1,177,483","6,143,770",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,PWS,"1,195","300,248","116,745","29,409,289","939,605","30,767,082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,PWS,891,"367,560","139,430","14,246,639","662,712","15,417,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,PWS,588,"899,555","166,824","22,751,594","2,076,445","25,895,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,PWS,924,"1,463,155","62,944","24,686,332","1,878,810","28,092,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,PWS,978,"768,074","45,585","24,760,828","1,031,706","26,607,171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,PWS,0,"440,326","80,249","37,968,264","2,617,072","41,105,911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,PWS,0,"490,077","478,633","33,040,270","4,690,867","38,699,847",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,PWS,0,"972,582","175,083","28,466,847","2,499,721","32,114,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,PWS,0,"1,163,539","36,232","18,771,143","6,111,569","26,082,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,PWS,0,"1,571,592","76,843","46,935,174","3,351,054","51,934,663",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,PWS,0,"694,501","46,578","20,422,252","1,745,266","22,908,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,PWS,0,"517,890","227,644","47,620,680","1,919,070","50,285,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,PWS,0,"1,183,213","340,551","19,835,604","2,034,278","23,393,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,PWS,0,"1,234,571","166,107","53,461,389","3,559,558","58,421,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,PWS,0,"856,523","297,900","39,783,382","4,743,408","45,681,213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,PWS,0,"949,481","39,260","17,225,812","2,977,790","21,192,343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,PWS,0,"1,510,501","37,989","68,047,457","4,069,152","73,665,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,PWS,0,"1,757,043","206,733","26,362,128","1,650,418","29,976,322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,PWS,0,"1,622,566","11,074","23,390,393","3,396,596","28,420,629",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,PWS,0,"1,041,824","258,104","74,616,332","3,640,837","79,557,097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,PWS,0,"1,494,284","180,742","40,921,607","1,102,613","43,699,246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,PWS,0,"1,660,967","74,728","70,375,473","2,138,730","74,249,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PWS,0,"1,030,867","8,653","9,930,534","2,924,763","13,894,817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,PWS,0,"723,773","25,888","26,714,899","4,420,141","31,884,701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,PWS,0,"1,040,335","14,211","18,190,368","2,996,641","22,241,555",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,CI,42,0,0,0,NA,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,CI,0,"299,858",0,0,NA,"299,858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,CI,0,"638,058",102,0,NA,"638,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,CI,NA,"358,726","1,034","963,350",NA,"1,323,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,CI,0,"23,990","1,575","181,400","7,426","214,391",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,CI,0,"151,400","1,902","577,200",140,"730,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,CI,0,"231,444","1,042","230,000",898,"463,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,CI,0,"415,493","3,681","463,600","1,875","884,649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,CI,0,"808,503","6,628","380,190","23,152","1,218,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,CI,0,"521,349","13,745","84,500","5,313","624,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,CI,0,"676,669","8,642","836,000","8,423","1,529,734",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,CI,0,"330,263","8,131","877,600","4,560","1,220,554",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,CI,160,"378,708","11,728","167,400","49,257","607,253",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,CI,130,"483,514","18,546","204,800","25,801","732,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,CI,975,"388,021","4,706","373,577","2,933","770,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,CI,"1,319","497,376","11,681","637,807","38,002","1,186,185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,CI,NA,"256,977","10,045","1,563,101","74,725","1,904,848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,CI,"1,385","324,248","4,121","2,423,894","110,962","2,864,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,CI,"1,042","425,118","1,346","442,816","22,711","893,033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,CI,0,"274,873","3,783","2,637,370","1,745","2,917,771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,CI,0,"192,548","18,638","1,295,388",106,"1,506,680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,CI,0,"1,150,784","7,188","1,080,130",NA,"2,238,102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,CI,0,"310,815","5,370","1,052,285",NA,"1,368,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,CI,0,"724,095","7,133","530,265",NA,"1,261,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,CI,57,"840,439","9,032","1,051,320",NA,"1,900,848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,CI,772,"1,204,972","5,849","619,079",NA,"1,830,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,CI,"2,008","1,142,202","7,631","2,460,712",NA,"3,612,553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,CI,626,"999,050","1,536","2,143,317",NA,"3,144,529",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,CI,639,"460,023",600,"251,781",NA,"713,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CI,467,"402,332",48,"112,801",NA,"515,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CI,0,"223,062",350,0,NA,"223,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
